category,organization,source_name,source_url,source_type,coverage,notes
state_gazette,West Bengal,West Bengal e-Gazette,https://wb.gov.in/pages/view/69-wb-gazette,official gazette,"WB gazette, Sundarbans orders","Government notifications, land/forest/revenue orders"
state_gazette,Uttar Pradesh,Uttar Pradesh e-Gazette,https://upegazette.nic.in,official gazette,"UP gazette, revenue, forest orders","Government notifications, land/forest/revenue orders"
state_gazette,Madhya Pradesh,Madhya Pradesh e-Gazette,https://mpgazette.nic.in,official gazette,"MP gazette, environment orders","Government notifications, land/forest/revenue orders"
state_gazette,Bihar,Bihar e-Gazette,https://egazette.bih.nic.in,official gazette,Bihar gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Punjab,Punjab e-Gazette,https://egazette.punjab.gov.in,official gazette,Punjab gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Odisha,Odisha e-Gazette,https://odisha.gov.in/gazette,official gazette,Odisha gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Chhattisgarh,Chhattisgarh e-Gazette,https://cggazette.nic.in,official gazette,"CG gazette, mining/forest","Government notifications, land/forest/revenue orders"
state_gazette,Delhi,Delhi e-Gazette,https://delhi.gov.in/page/delhi-gazette,official gazette,Delhi gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Assam,Assam e-Gazette,https://www.assam.gov.in/documents/gazette,official gazette,Assam gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Haryana,Haryana e-Gazette,https://haryana.gov.in/documents/gazette,official gazette,Haryana gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Jharkhand,Jharkhand e-Gazette,https://egazette.jharkhand.gov.in,official gazette,Jharkhand gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Himachal Pradesh,Himachal Pradesh e-Gazette,https://egazette.himachalpradesh.gov.in,official gazette,HP gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Uttarakhand,Uttarakhand e-Gazette,https://egazette.uttarakhand.gov.in,official gazette,Uttarakhand gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Goa,Goa e-Gazette,https://egazette.goa.gov.in,official gazette,"Goa gazette, coastal zone orders","Government notifications, land/forest/revenue orders"
state_gazette,Tripura,Tripura e-Gazette,https://egazette.tripura.gov.in,official gazette,Tripura gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Manipur,Manipur e-Gazette,https://egazette.manipur.gov.in,official gazette,Manipur gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Meghalaya,Meghalaya e-Gazette,https://egazette.meghalaya.gov.in,official gazette,Meghalaya gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Nagaland,Nagaland e-Gazette,https://egazette.nagaland.gov.in,official gazette,Nagaland gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Mizoram,Mizoram e-Gazette,https://egazette.mizoram.gov.in,official gazette,Mizoram gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Sikkim,Sikkim e-Gazette,https://egazette.sikkim.gov.in,official gazette,Sikkim gazette,"Government notifications, land/forest/revenue orders"
state_gazette,Arunachal Pradesh,Arunachal Pradesh e-Gazette,https://egazette.arunachalpradesh.gov.in,official gazette,Arunachal gazette,"Government notifications, land/forest/revenue orders"
state_data,Andhra Pradesh,Andhra Pradesh Open Data/Portal,https://ap.data.gov.in,state portal,AP state open data,State government data and services
state_data,Karnataka,Karnataka Open Data/Portal,https://karnataka.data.gov.in,state portal,KA state open data,State government data and services
state_data,Kerala,Kerala Open Data/Portal,https://kerala.data.gov.in,state portal,KL state open data,State government data and services
state_data,Tamil Nadu,Tamil Nadu Open Data/Portal,https://tn.data.gov.in,state portal,TN state open data,State government data and services
state_data,Odisha,Odisha Open Data/Portal,https://odisha.data.gov.in,state portal,Odisha state open data,State government data and services
state_data,Punjab,Punjab Open Data/Portal,https://punjab.data.gov.in,state portal,Punjab state open data,State government data and services
state_data,Uttar Pradesh,Uttar Pradesh Open Data/Portal,https://up.data.gov.in,state portal,UP state open data,State government data and services
state_data,Jammu Kashmir,Jammu Kashmir Open Data/Portal,https://jk.data.gov.in,state portal,JK state open data,State government data and services
state_data,Telangana,Telangana Open Data/Portal,https://data.telangana.gov.in,state portal,Telangana open data,State government data and services
state_data,Sikkim,Sikkim Open Data/Portal,https://sikkim.data.gov.in,state portal,Sikkim open data,State government data and services
state_data,Maharashtra,Maharashtra Open Data/Portal,https://data.maharashtra.gov.in,state portal,Maharashtra open data,State government data and services
state_data,Rajasthan Jan Soochna,Rajasthan Jan Soochna Open Data/Portal,https://jansoochna.rajasthan.gov.in,state portal,Rajasthan RTI and open data,State government data and services
state_data,Bihar State Portal,Bihar State Portal Open Data/Portal,https://state.bihar.gov.in,state portal,Bihar state portal and data,State government data and services
state_data,West Bengal Portal,West Bengal Portal Open Data/Portal,https://wb.gov.in,state portal,West Bengal government portal,State government data and services
state_data,Delhi Portal,Delhi Portal Open Data/Portal,https://delhi.gov.in,state portal,Delhi government portal,State government data and services
state_data,Assam Portal,Assam Portal Open Data/Portal,https://assam.gov.in,state portal,Assam government portal,State government data and services
state_data,Chhattisgarh Portal,Chhattisgarh Portal Open Data/Portal,https://cgstate.gov.in,state portal,Chhattisgarh portal,State government data and services
state_data,Jharkhand Portal,Jharkhand Portal Open Data/Portal,https://jharkhand.gov.in,state portal,Jharkhand government portal,State government data and services
state_data,Himachal Pradesh Portal,Himachal Pradesh Portal Open Data/Portal,https://himachal.nic.in,state portal,HP government portal,State government data and services
state_data,Uttarakhand Portal,Uttarakhand Portal Open Data/Portal,https://uk.gov.in,state portal,Uttarakhand portal,State government data and services
state_data,Goa Portal,Goa Portal Open Data/Portal,https://goa.gov.in,state portal,Goa government portal,State government data and services
state_data,Haryana Portal,Haryana Portal Open Data/Portal,https://haryana.gov.in,state portal,Haryana portal,State government data and services
state_data,Tripura Portal,Tripura Portal Open Data/Portal,https://tripura.gov.in,state portal,Tripura portal,State government data and services
state_data,Meghalaya Portal,Meghalaya Portal Open Data/Portal,https://meghalaya.gov.in,state portal,Meghalaya portal,State government data and services
state_data,Manipur Portal,Manipur Portal Open Data/Portal,https://manipur.gov.in,state portal,Manipur portal,State government data and services
state_data,Nagaland Portal,Nagaland Portal Open Data/Portal,https://nagaland.gov.in,state portal,Nagaland portal,State government data and services
state_data,Arunachal Pradesh Portal,Arunachal Pradesh Portal Open Data/Portal,https://arunachalpradesh.gov.in,state portal,AP portal,State government data and services
state_data,Mizoram Portal,Mizoram Portal Open Data/Portal,https://mizoram.gov.in,state portal,Mizoram portal,State government data and services
state_data,Sikkim Portal,Sikkim Portal Open Data/Portal,https://sikkim.gov.in,state portal,Sikkim portal,State government data and services
state_data,Madhya Pradesh eDistrict,Madhya Pradesh eDistrict Open Data/Portal,https://mpedistrict.gov.in,state portal,MP e-district services,State government data and services
state_data,Gujarat Portal,Gujarat Portal Open Data/Portal,https://gujarat.gov.in,state portal,Gujarat government portal,State government data and services
ibef,India Brand Equity Foundation (IBEF),IBEF Home,https://www.ibef.org,economy data,India Brand Equity Foundation portal,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Indian Economy Overview,https://www.ibef.org/economy/indian-economy-overview,economy data,"Economy overview, GDP, trade",IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Foreign Direct Investment,https://www.ibef.org/economy/foreign-direct-investment,economy data,FDI data and trends,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Government Schemes,https://www.ibef.org/economy/government-schemes,economy data,All major government schemes,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Make in India,https://www.ibef.org/economy/make-in-india,economy data,Make in India initiative data,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Union Budget 2025-26,https://www.ibef.org/economy/union-budget-2025-26,economy data,Budget analysis,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Union Budget 2026-27,https://www.ibef.org/economy/union-budget-2026-27,economy data,Budget analysis,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Economic Survey 2025-26,https://www.ibef.org/economy/economic-survey-2025-26,economy data,Economic survey,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Export By Products,https://www.ibef.org/export-products,economy data,Export product data,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Export By Country,https://www.ibef.org/indian-exports,economy data,Export country data,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Monthly Economic Report,https://www.ibef.org/economy/monthly-economic-report,economy data,Monthly economic data,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),Startup India,https://www.ibef.org/economy/startup-india,economy data,Startup ecosystem data,IBEF sector analysis and investment data
ibef,India Brand Equity Foundation (IBEF),IBEF Agriculture Sector,https://www.ibef.org/industry/agriculture-india,industry report,IBEF sector analysis: Agriculture,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Automobiles Sector,https://www.ibef.org/industry/automobiles,industry report,IBEF sector analysis: Automobiles,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Aviation Sector,https://www.ibef.org/industry/aviation,industry report,IBEF sector analysis: Aviation,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Banking Sector,https://www.ibef.org/industry/banking,industry report,IBEF sector analysis: Banking,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Biotechnology Sector,https://www.ibef.org/industry/biotechnology,industry report,IBEF sector analysis: Biotechnology,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Defence Manufacturing Sector,https://www.ibef.org/industry/defence-manufacturing,industry report,IBEF sector analysis: Defence Manufacturing,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF E-Commerce Sector,https://www.ibef.org/industry/e-commerce,industry report,IBEF sector analysis: E-Commerce,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Education Sector,https://www.ibef.org/industry/education-and-training,industry report,IBEF sector analysis: Education,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Electric Vehicles Sector,https://www.ibef.org/industry/electric-vehicle,industry report,IBEF sector analysis: Electric Vehicles,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Electronics ESDM Sector,https://www.ibef.org/industry/electronics-system-design-manufacturing,industry report,IBEF sector analysis: Electronics ESDM,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Financial Services Sector,https://www.ibef.org/industry/financial-services,industry report,IBEF sector analysis: Financial Services,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Food Processing Sector,https://www.ibef.org/industry/food-processing,industry report,IBEF sector analysis: Food Processing,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Healthcare Sector,https://www.ibef.org/industry/healthcare,industry report,IBEF sector analysis: Healthcare,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Infrastructure Sector,https://www.ibef.org/industry/infrastructure,industry report,IBEF sector analysis: Infrastructure,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF IT & BPM Sector,https://www.ibef.org/industry/it-bpm,industry report,IBEF sector analysis: IT & BPM,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Manufacturing Sector,https://www.ibef.org/industry/manufacturing-sector-india,industry report,IBEF sector analysis: Manufacturing,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Metals and Mining Sector,https://www.ibef.org/industry/metals-and-mining,industry report,IBEF sector analysis: Metals and Mining,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF MSME Sector,https://www.ibef.org/industry/msme,industry report,IBEF sector analysis: MSME,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Oil and Gas Sector,https://www.ibef.org/industry/oil-and-gas,industry report,IBEF sector analysis: Oil and Gas,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Pharmaceuticals Sector,https://www.ibef.org/industry/pharmaceuticals,industry report,IBEF sector analysis: Pharmaceuticals,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Power Sector,https://www.ibef.org/industry/power,industry report,IBEF sector analysis: Power,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Railways Sector,https://www.ibef.org/industry/railways,industry report,IBEF sector analysis: Railways,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Real Estate Sector,https://www.ibef.org/industry/real-estate,industry report,IBEF sector analysis: Real Estate,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Renewable Energy Sector,https://www.ibef.org/industry/renewable-energy,industry report,IBEF sector analysis: Renewable Energy,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Retail Sector,https://www.ibef.org/industry/retail,industry report,IBEF sector analysis: Retail,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Roads Sector,https://www.ibef.org/industry/roads,industry report,IBEF sector analysis: Roads,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Steel Sector,https://www.ibef.org/industry/steel,industry report,IBEF sector analysis: Steel,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Telecommunications Sector,https://www.ibef.org/industry/telecommunications,industry report,IBEF sector analysis: Telecommunications,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Textiles Sector,https://www.ibef.org/industry/textiles,industry report,IBEF sector analysis: Textiles,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Tourism and Hospitality Sector,https://www.ibef.org/industry/tourism-and-hospitality,industry report,IBEF sector analysis: Tourism and Hospitality,Sector-wise investment and market data
ibef,India Brand Equity Foundation (IBEF),IBEF Andhra Pradesh,https://www.ibef.org/states/andhra-pradesh,state investment profile,State economy and investment profile: Andhra Pradesh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Arunachal Pradesh,https://www.ibef.org/states/arunachal-pradesh,state investment profile,State economy and investment profile: Arunachal Pradesh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Assam,https://www.ibef.org/states/assam,state investment profile,State economy and investment profile: Assam,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Bihar,https://www.ibef.org/states/bihar,state investment profile,State economy and investment profile: Bihar,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Chhattisgarh,https://www.ibef.org/states/chhattisgarh,state investment profile,State economy and investment profile: Chhattisgarh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Delhi,https://www.ibef.org/states/delhi,state investment profile,State economy and investment profile: Delhi,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Goa,https://www.ibef.org/states/goa,state investment profile,State economy and investment profile: Goa,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Gujarat,https://www.ibef.org/states/gujarat,state investment profile,State economy and investment profile: Gujarat,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Haryana,https://www.ibef.org/states/haryana,state investment profile,State economy and investment profile: Haryana,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Himachal Pradesh,https://www.ibef.org/states/himachal-pradesh,state investment profile,State economy and investment profile: Himachal Pradesh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Jammu and Kashmir,https://www.ibef.org/states/jammu-and-kashmir,state investment profile,State economy and investment profile: Jammu and Kashmir,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Jharkhand,https://www.ibef.org/states/jharkhand,state investment profile,State economy and investment profile: Jharkhand,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Karnataka,https://www.ibef.org/states/karnataka,state investment profile,State economy and investment profile: Karnataka,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Kerala,https://www.ibef.org/states/kerala,state investment profile,State economy and investment profile: Kerala,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Ladakh,https://www.ibef.org/states/ladakh,state investment profile,State economy and investment profile: Ladakh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Madhya Pradesh,https://www.ibef.org/states/madhya-pradesh,state investment profile,State economy and investment profile: Madhya Pradesh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Maharashtra,https://www.ibef.org/states/maharashtra,state investment profile,State economy and investment profile: Maharashtra,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Manipur,https://www.ibef.org/states/manipur,state investment profile,State economy and investment profile: Manipur,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Meghalaya,https://www.ibef.org/states/meghalaya,state investment profile,State economy and investment profile: Meghalaya,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Mizoram,https://www.ibef.org/states/mizoram,state investment profile,State economy and investment profile: Mizoram,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Nagaland,https://www.ibef.org/states/nagaland,state investment profile,State economy and investment profile: Nagaland,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Odisha,https://www.ibef.org/states/odisha,state investment profile,State economy and investment profile: Odisha,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Punjab,https://www.ibef.org/states/punjab,state investment profile,State economy and investment profile: Punjab,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Rajasthan,https://www.ibef.org/states/rajasthan,state investment profile,State economy and investment profile: Rajasthan,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Sikkim,https://www.ibef.org/states/sikkim,state investment profile,State economy and investment profile: Sikkim,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Tamil Nadu,https://www.ibef.org/states/tamil-nadu,state investment profile,State economy and investment profile: Tamil Nadu,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Telangana,https://www.ibef.org/states/telangana,state investment profile,State economy and investment profile: Telangana,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Tripura,https://www.ibef.org/states/tripura,state investment profile,State economy and investment profile: Tripura,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Uttar Pradesh,https://www.ibef.org/states/uttar-pradesh,state investment profile,State economy and investment profile: Uttar Pradesh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Uttarakhand,https://www.ibef.org/states/uttarakhand,state investment profile,State economy and investment profile: Uttarakhand,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF West Bengal,https://www.ibef.org/states/west-bengal,state investment profile,State economy and investment profile: West Bengal,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Andaman & Nicobar,https://www.ibef.org/states/andaman-nicobar,state investment profile,State economy and investment profile: Andaman & Nicobar,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Chandigarh,https://www.ibef.org/states/chandigarh,state investment profile,State economy and investment profile: Chandigarh,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Puducherry,https://www.ibef.org/states/puducherry,state investment profile,State economy and investment profile: Puducherry,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Lakshadweep,https://www.ibef.org/states/lakshadweep,state investment profile,State economy and investment profile: Lakshadweep,State-wise economy overview
ibef,India Brand Equity Foundation (IBEF),IBEF Dadra Nagar Haveli,https://www.ibef.org/states/dadra-nagar-haveli-and-daman-diu,state investment profile,State economy and investment profile: Dadra Nagar Haveli,State-wise economy overview
defence,Defence/DRDO/DPSUs,MoD Portal,https://mod.gov.in,defence data,"Defence policy, procurement","Defence policy, procurement"
defence,Defence/DRDO/DPSUs,DRDO Portal,https://drdo.gov.in,defence data,"Defence R&D, labs, projects","Defence R&D, labs, projects"
defence,Defence/DRDO/DPSUs,DRDO Annual Report,https://drdo.gov.in/annual-reports,defence data,Defence R&D budget and projects,Defence R&D budget and projects
defence,Defence/DRDO/DPSUs,Defence Acquisition Portal DAP,https://dap.mod.gov.in,defence data,"DAP 2020 acquisitions, vendor lists","DAP 2020 acquisitions, vendor lists"
defence,Defence/DRDO/DPSUs,Dept of Defence Production,https://ddpmod.gov.in,defence data,"Make-in-India defence, DPSUs","Make-in-India defence, DPSUs"
defence,Defence/DRDO/DPSUs,HAL Hindustan Aeronautics,https://hal-india.co.in,defence data,"Aircraft, helicopters, LCA Tejas","Aircraft, helicopters, LCA Tejas"
defence,Defence/DRDO/DPSUs,BEL Bharat Electronics,https://bel-india.in,defence data,"Electronics, radars, tenders","Electronics, radars, tenders"
defence,Defence/DRDO/DPSUs,BEML Limited,https://www.beml.co.in,defence data,"Mining, construction, defence vehicles","Mining, construction, defence vehicles"
defence,Defence/DRDO/DPSUs,BDL Bharat Dynamics,https://bdl-india.in,defence data,"Missiles, weapon systems","Missiles, weapon systems"
defence,Defence/DRDO/DPSUs,MDL Mazagon Dock,https://mazdocklimited.org,defence data,"Submarine, warship building","Submarine, warship building"
defence,Defence/DRDO/DPSUs,GRSE Naval Shipyard,https://www.grse.in,defence data,Naval ship construction,Naval ship construction
defence,Defence/DRDO/DPSUs,OFB Ordnance Factory Board,https://ofbindia.gov.in,defence data,"Ordnance, ammunition production","Ordnance, ammunition production"
defence,Defence/DRDO/DPSUs,OGD Defence Production Dataset,https://www.data.gov.in/catalog/defence-production-and-export,defence data,Year-wise production and exports,Year-wise production and exports
defence,Defence/DRDO/DPSUs,OGD DRDO Manpower,https://www.data.gov.in/catalog/manpower-details-drdo,defence data,DRDO staffing data,DRDO staffing data
defence,Defence/DRDO/DPSUs,CBI MES Corruption Cases,https://www.data.gov.in/resource/year-wise-details-corruption-cases-registered-cbi-under-prevention-corruption-act-1988,defence data,Defence corruption cases,Defence corruption cases
defence,Defence/DRDO/DPSUs,OGD MoD Ministry Page,https://www.data.gov.in/ministrydepartment/Ministry%20of%20Defence,defence data,All MoD datasets,All MoD datasets
defence,Defence/DRDO/DPSUs,Dept Ex-Servicemen Welfare,https://desw.gov.in,defence data,Veterans welfare data,Veterans welfare data
security,Security/Law Enforcement,NCRB Crime Statistics,https://ncrb.gov.in,law enforcement,"Crime in India by IPC section, state","Crime in India by IPC section, state"
security,Security/Law Enforcement,NCRB Prison Statistics,https://ncrb.gov.in/en/prison-statistics-india,law enforcement,"Prison data, undertrial details","Prison data, undertrial details"
security,Security/Law Enforcement,CBI Portal,https://cbi.gov.in,law enforcement,"Cases, press releases, fugitives","Cases, press releases, fugitives"
security,Security/Law Enforcement,CVC Vigilance Commission,https://cvc.gov.in,law enforcement,"Vigilance circulars, orders, penalties","Vigilance circulars, orders, penalties"
security,Security/Law Enforcement,CVC Tender Scrutiny,https://cvc.gov.in/tenders.php,law enforcement,Single-bid tender oversight,Single-bid tender oversight
security,Security/Law Enforcement,CVC Major Penalty Orders,https://cvc.gov.in/major-penalties.htm,law enforcement,IAS/IPS corruption actions,IAS/IPS corruption actions
security,Security/Law Enforcement,CIC RTI Orders,https://cic.gov.in,law enforcement,"RTI appeals, orders, compliance","RTI appeals, orders, compliance"
security,Security/Law Enforcement,NIA Portal,https://nia.gov.in,law enforcement,"Terror cases, chargesheets, notices","Terror cases, chargesheets, notices"
security,Security/Law Enforcement,ED Enforcement Directorate,https://enforcementdirectorate.gov.in,law enforcement,"PMLA, FEMA, attachments","PMLA, FEMA, attachments"
security,Security/Law Enforcement,SFIO Serious Fraud Office,https://sfio.nic.in,law enforcement,Corporate fraud investigations,Corporate fraud investigations
security,Security/Law Enforcement,MHA Portal,https://www.mha.gov.in,law enforcement,"Home affairs, internal security","Home affairs, internal security"
security,Security/Law Enforcement,MHA Annual Report,https://www.mha.gov.in/MHA1/AnnualReports.aspx,law enforcement,Comprehensive home affairs data,Comprehensive home affairs data
security,Security/Law Enforcement,UIDAI Statistics,https://uidai.gov.in/en/my-aadhaar/about-your-aadhaar/statistics.html,law enforcement,Aadhaar enrolment by state,Aadhaar enrolment by state
security,Security/Law Enforcement,BPR&D Police Research,https://bprd.nic.in,law enforcement,"Police research, training data","Police research, training data"
security,Security/Law Enforcement,Assam Rifles,https://www.assamrifles.gov.in,law enforcement,NE paramilitary force,NE paramilitary force
security,Security/Law Enforcement,BSF Border Security Force,https://bsf.gov.in,law enforcement,Border security data,Border security data
security,Security/Law Enforcement,CISF Central Industrial Security,https://cisf.gov.in,law enforcement,Industrial security force,Industrial security force
security,Security/Law Enforcement,CRPF Central Reserve Police,https://crpf.gov.in,law enforcement,Internal security force,Internal security force
security,Security/Law Enforcement,ITBP Indo-Tibetan Border Police,https://itbpolice.nic.in,law enforcement,Himalayan border force,Himalayan border force
security,Security/Law Enforcement,NSG National Security Guard,https://nsg.gov.in,law enforcement,Counter-terrorism force,Counter-terrorism force
security,Security/Law Enforcement,SSB Sashastra Seema Bal,https://ssb.gov.in,law enforcement,Nepal/Bhutan border force,Nepal/Bhutan border force
security,Security/Law Enforcement,SVPNPA Police Academy,https://svpnpa.gov.in,law enforcement,Police training institute,Police training institute
security,Security/Law Enforcement,NICFS Forensic Science,https://nicfs.gov.in,law enforcement,Criminology and forensics,Criminology and forensics
security,Security/Law Enforcement,DCPW Police Wireless,https://dcpw.gov.in,law enforcement,Police wireless coordination,Police wireless coordination
security,Security/Law Enforcement,SEBI SCORES Investor Portal,https://scores.sebi.gov.in,law enforcement,Investor complaints tracking,Investor complaints tracking
energy,Energy/Oil/Mining,CEA Central Electricity Authority,https://cea.nic.in,energy data,"Generation, transmission, grid stats","Generation, transmission, grid stats"
energy,Energy/Oil/Mining,National Power Portal,https://npp.gov.in,energy data,Real-time power system data,Real-time power system data
energy,Energy/Oil/Mining,Grid-India Grid Controller,https://grid-india.in,energy data,"Grid operation, merit order","Grid operation, merit order"
energy,Energy/Oil/Mining,MNRE Renewables Ministry,https://mnre.gov.in,energy data,"Solar, wind, hydro capacity by state","Solar, wind, hydro capacity by state"
energy,Energy/Oil/Mining,PPAC Petroleum Stats,https://ppac.gov.in,energy data,"Oil prices, consumption, reserves","Oil prices, consumption, reserves"
energy,Energy/Oil/Mining,Coal India Limited,https://www.coalindia.in,energy data,"Coal production, dispatch, financials","Coal production, dispatch, financials"
energy,Energy/Oil/Mining,Coal Ministry Portal,https://www.coal.nic.in,energy data,"Coal production, auctions, policy","Coal production, auctions, policy"
energy,Energy/Oil/Mining,MoPNG Petroleum Ministry,https://mopng.gov.in,energy data,"Oil and gas policy, E&P blocks","Oil and gas policy, E&P blocks"
energy,Energy/Oil/Mining,ONGC Portal,https://ongcindia.com,energy data,"Oil production, reserves, annual reports","Oil production, reserves, annual reports"
energy,Energy/Oil/Mining,DGH Directorate Hydrocarbons,https://www.dghindia.gov.in,energy data,"Upstream oil, gas blocks, OALP","Upstream oil, gas blocks, OALP"
energy,Energy/Oil/Mining,CERC Electricity Regulator,https://cercind.gov.in,energy data,"Tariff orders, open access","Tariff orders, open access"
energy,Energy/Oil/Mining,IOCL Indian Oil,https://iocl.com,energy data,"Fuel distribution, retail, finance","Fuel distribution, retail, finance"
energy,Energy/Oil/Mining,BPCL Bharat Petroleum,https://www.bharatpetroleum.in,energy data,Oil retail and distribution,Oil retail and distribution
energy,Energy/Oil/Mining,HPCL Hindustan Petroleum,https://www.hindustanpetroleum.com,energy data,Oil retail and distribution,Oil retail and distribution
energy,Energy/Oil/Mining,OALP Round Oil Blocks,https://oalp.petrosoftindia.com,energy data,"Oil block allocation, bidder data","Oil block allocation, bidder data"
energy,Energy/Oil/Mining,Coal Block Auctions,https://www.coal.nic.in/content/commercial-mining,energy data,Commercial coal mine auctions,Commercial coal mine auctions
